ID	FungalID	Sample	Site	RiverType	RiverType2	SampleType	Date	Days	Treatment	Treatment2	LeafMassRemaining	MassRemainingSE	ng.mL	?g.?L	template	water	final
AS12	AS012	PEV_3_1_C	PEV	Intermittent	FlowVariability	Normal	3_1	21	C	Chestnut	64.7	1.71	11.1	2.22	12	13	1.0656
AS11	AS011	PEV_3_1_Q	PEV	Intermittent	FlowVariability	Normal	3_1	21	Q	Oak	52.52	0.63	12.3	2.46	12	13	1.1808
AS26	AS026	PEV_24_1_C	PEV	Intermittent	FlowVariability	LowFlow	24_1	42	C	Chestnut	60.59	1.94	26.3	5.26	7	18	1.4728
AS25	AS025	PEV_24_1_Q	PEV	Intermittent	FlowVariability	LowFlow	24_1	42	Q	Oak	48.8	1.15	13.5	2.7	10	15	1.08
AS39	AS039	PEV_14_2_C	PEV	Intermittent	FlowVariability	LowFlow	14_2	63	C	Chestnut	57.85	1.18	16.2	3.24	9	16	1.1664
AS40	AS040	PEV_14_2_Q	PEV	Intermittent	FlowVariability	LowFlow	14_2	63	Q	Oak	47.06	1.07	25.9	5.18	5	20	1.036
AS54	AS054	PEV_7_3_C	PEV	Intermittent	FlowVariability	Normal	7_3	84	C	Chestnut	51.24	1.83	21.2	4.24	6	19	1.0176
AS55	AS055	PEV_7_3_Q	PEV	Intermittent	FlowVariability	Normal	7_3	84	Q	Oak	40	0.78	28	5.6	5	20	1.12
AS68	AS068	PEV_29_3_C	PEV	Intermittent	FlowVariability	Normal	29_3	105	C	Chestnut	38.95	1.88	28.3	5.66	5	20	1.132
AS69	AS069	PEV_29_3_Q	PEV	Intermittent	FlowVariability	Normal	29_3	105	Q	Oak	23.01	4.21	30.6	6.12	5	20	1.224
AS83	AS083	PEV_19_4_C	PEV	Intermittent	FlowVariability	Normal	19_4	126	C	Chestnut	31.08	4.09	25.4	5.08	5	20	1.016
AS82	AS082	PEV_19_4_Q	PEV	Intermittent	FlowVariability	Normal	19_4	126	Q	Oak	19.02	4.23	18	3.6	7	18	1.008
AS6	AS006	SAN_3_1_C	SAN	Perennial	FlowVariability	Normal	3_1	21	C	Chestnut	66.19	1.25	33.4	6.68	4	21	1.0688
AS5	AS005	SAN_3_1_Q	SAN	Perennial	FlowVariability	Normal	3_1	21	Q	Oak	49.65	1.4	24	4.8	6	19	1.152
